Ref_Date,GEO,SEX,AGE,Value
1999,New Brunswick,Both sexes,18 years and over,582202
2000,New Brunswick,Both sexes,18 years and over,584980
2001,New Brunswick,Both sexes,18 years and over,587572
2002,New Brunswick,Both sexes,18 years and over,590283
2003,New Brunswick,Both sexes,18 years and over,593141
2004,New Brunswick,Both sexes,18 years and over,595516
2005,New Brunswick,Both sexes,18 years and over,596595
2006,New Brunswick,Both sexes,18 years and over,597117
2007,New Brunswick,Both sexes,18 years and over,598986
2008,New Brunswick,Both sexes,18 years and over,602426
2009,New Brunswick,Both sexes,18 years and over,607099
2010,New Brunswick,Both sexes,18 years and over,611594
2011,New Brunswick,Both sexes,18 years and over,615859
2012,New Brunswick,Both sexes,18 years and over,618760
2013,New Brunswick,Both sexes,18 years and over,619439
