Ref_Date,REGION,TYPE,Value
1999,New Brunswick,"Vehicles weighing less than 4,500 kilograms",421796
2000,New Brunswick,"Vehicles weighing less than 4,500 kilograms",431284
2001,New Brunswick,"Vehicles weighing less than 4,500 kilograms",433600
2002,New Brunswick,"Vehicles weighing less than 4,500 kilograms",442703
2003,New Brunswick,"Vehicles weighing less than 4,500 kilograms",442259
2004,New Brunswick,"Vehicles weighing less than 4,500 kilograms",442592
2005,New Brunswick,"Vehicles weighing less than 4,500 kilograms",450489
2006,New Brunswick,"Vehicles weighing less than 4,500 kilograms",459671
2007,New Brunswick,"Vehicles weighing less than 4,500 kilograms",471013
2008,New Brunswick,"Vehicles weighing less than 4,500 kilograms",484797
2009,New Brunswick,"Vehicles weighing less than 4,500 kilograms",489507
2010,New Brunswick,"Vehicles weighing less than 4,500 kilograms",501145
2011,New Brunswick,"Vehicles weighing less than 4,500 kilograms",508423
2012,New Brunswick,"Vehicles weighing less than 4,500 kilograms",521925
2013,New Brunswick,"Vehicles weighing less than 4,500 kilograms",525614
